IP Address,Bwd Packet Length Max,Fwd Packet Length Max,Average Packet Size,Max Packet Length,Total Backward Packets,Total Fwd Packets,Destination Port,Min Packet Length,Flow Bytes/s,Bwd Header Length,Fwd Header Length
192.168.0.7,923,403,278.9305556,923,24,48,389,0,174.0122825,768,1536
192.168.0.64,1139,403,226.712963,1139,40,68,389,0,212.2253767,1280,2176
192.168.0.229,5840,20,1163.3,5840,7,3,80,0,8991.398927,152,72
192.168.0.200,0,6,7.5,6,0,4,80,6,5.42816703,0,80
192.168.0.118,1047,372,238.7857143,1047,7,7,80,0,644.7297824,232,232
192.168.0.159,4344,395,624.4705882,4344,7,10,80,0,2099.113097,232,328
192.168.0.5,530,447,122.125,530,4,4,80,0,195.1608499,136,136
192.168.0.131,0,0,0.0,0,1,2,80,0,0.0,32,64
192.168.0.111,0,0,0.0,0,1,3,80,0,0.0,40,104
192.168.0.105,0,0,0.0,0,1,3,80,0,0.0,40,104
